ultimateparentid,rssd,year,best_match,callReports_sample,summaryOfDeposits_sample,federalReserve_sample
7861,112819,2009,0,1,0,0
7861,112819,2010,0,1,0,0
7861,112819,2011,0,1,0,0
7861,112819,2012,0,1,0,0
7861,112819,2013,0,1,0,0
7861,112819,2014,0,1,0,0
7861,112819,2015,0,1,0,0
109972,112967,1987,0,1,0,0
109972,112967,1988,0,1,0,0
109972,112967,1989,0,1,0,0
109972,112967,1990,0,1,0,0
109972,112967,1991,0,1,0,0
109972,112967,1992,0,1,0,0
109972,112967,1993,0,1,0,0
109972,112967,1994,0,1,0,0
109972,112967,1995,0,1,0,0
92064,113311,2001,1,1,0,0
92064,113311,2002,1,1,0,0
92064,113311,2003,0,1,0,0
92064,113311,2004,0,1,0,0
92064,113311,2005,0,1,0,0
92064,113311,2006,0,1,0,0
92064,113311,2007,0,1,0,0
92064,113311,2008,0,1,0,0
92064,113311,2009,0,1,0,0
92064,113311,2010,0,1,0,0
92064,113311,2011,0,1,0,0
92064,113311,2012,0,1,0,0
92064,113311,2013,0,1,0,0
92064,113311,2014,0,1,0,0
92064,113311,2015,0,1,0,0
140408,114158,2012,1,1,1,1
33431,114260,1999,1,1,1,1
129798,114260,2009,1,1,1,1
129798,114260,2011,1,1,1,1
129798,114260,2012,1,1,1,1
137815,115641,2011,1,1,1,0
15433,116068,1996,0,1,0,0
15433,116068,1997,0,1,0,0
30255,117663,1987,0,1,0,0
30255,117663,1988,0,1,0,0
30255,117663,1989,0,1,0,0
30255,117663,1990,0,1,0,0
30255,117663,1991,0,1,0,0
30255,117663,1992,0,1,0,0
30255,117663,1993,0,1,0,0
30255,117663,1994,0,1,0,0
30255,117663,1995,0,1,0,0
30255,117663,1996,0,1,0,0
30255,117663,1997,0,1,0,0
30255,117663,1998,0,1,0,0
30255,117663,1999,0,1,0,0
30255,117663,2000,0,1,0,0
30255,117663,2001,0,1,0,0
30255,117663,2002,0,1,0,0
30255,117663,2003,0,1,0,0
30255,117663,2004,0,1,0,0
30255,117663,2005,0,1,0,0
30255,117663,2006,0,1,0,0
30255,117663,2007,0,1,0,0
30255,117663,2008,0,1,0,0
30255,117663,2009,0,1,0,0
30255,117663,2010,0,1,0,0
30255,117663,2011,0,1,0,0
30255,117663,2012,0,1,0,0
30255,117663,2013,0,1,0,0
30255,117663,2014,0,1,0,0
161093,117663,2015,0,1,0,0
6422,118156,2005,1,1,1,1
133975,119153,2010,1,1,1,1
89391,119872,2013,1,1,1,1
146537,121642,2013,1,1,1,1
146537,121642,2015,1,1,1,1
121699,124830,2007,1,1,1,1
109747,125471,2014,1,1,1,1
151575,125855,2014,1,1,1,1
6472,126768,1989,1,1,0,0
6472,126768,1991,1,1,0,0
6472,126768,1992,1,1,0,0
115590,127055,1999,0,1,1,1
19525,127055,2002,0,1,1,1
115590,127055,2004,0,1,1,1
115590,127055,2005,0,1,1,1
115590,127055,2006,0,1,1,1
115590,127055,2008,0,1,1,1
115590,127055,2009,0,1,1,1
6177,127448,1987,1,1,0,0
8873,128212,2000,0,1,0,0
8873,128212,2001,0,1,0,0
8873,128212,2002,0,1,0,0
8873,128212,2003,0,1,0,0
8873,128212,2004,0,1,0,0
8873,128212,2005,0,1,0,0
20880,128511,1996,0,1,1,1
109972,128511,1998,0,1,1,1
117979,128511,2014,0,1,1,1
15341,128904,1993,1,1,0,1
15341,128904,1995,1,1,1,1
15341,128904,1997,1,1,1,1
15341,128904,1999,1,1,1,1
15341,128904,2001,1,1,1,1
15341,128904,2002,1,1,1,1
15341,128904,2003,1,1,1,1
15341,128904,2004,1,1,1,1
15341,128904,2005,1,1,1,1
15341,128904,2006,1,1,1,1
15341,128904,2007,1,1,1,1
15341,128904,2008,1,1,1,1
15341,128904,2011,1,1,1,1
15341,128904,2012,1,1,1,1
15341,128904,2013,1,1,1,1
15341,128904,2014,1,1,1,1
15341,128904,2015,1,1,1,1
9095,129013,1989,0,1,0,0
9095,129013,1990,0,1,0,0
8838,129013,1991,0,1,0,0
15565,129013,1993,0,1,0,0
9095,129013,1994,0,1,0,0
9095,129013,1995,0,1,0,0
9095,129013,1996,0,1,0,0
9095,129013,1997,0,1,0,0
8838,129013,1998,1,1,0,0
159930,129732,2015,1,1,1,1
